id,start_time,rt,correct,alpha,bgcol,fact_id,question,answer,priora,pt
1,38006.46649999544,1958.9195000007749,True,0.132272727272727,NA,4,iktisadi,economy,0.132272727272727,0
2,43108.49939996842,1061.7325999774039,True,0.23720880681818102,NA,18,hadithi,story,0.28681818181818103,0
3,46539.57469994202,2719.082699972205,True,0.239090909090909,NA,8,fumbo,mystery,0.264090909090909,0
4,50830.61960001942,2556.7849999060854,True,0.22811789772727198,NA,22,rushwa,bribe,0.277727272727272,0
5,54268.938199966215,1562.5786000164226,True,0.20954545454545398,NA,26,farasi,horse,0.20954545454545398,0
6,56712.36899995711,2286.422900040634,True,0.17811789772727202,NA,1,sala,prayer,0.227727272727272,0
7,60159.08779995516,2319.410299998708,True,0.23557528409090894,NA,24,rembo,ornament,0.214090909090909,0
8,63844.37129995786,2324.4460000423715,True,0.22811789772727198,NA,17,jibini,cheese,0.277727272727272,0
9,67146.79909998085,1605.3138999268413,True,0.268636363636363,NA,20,nanga,anchor,0.268636363636363,0
10,70785.9464000212,1356.610699906014,True,0.34803977272727205,NA,5,yamini,oath,0.277727272727272,0
11,73089.6157999523,1345.4977000365034,True,0.19629971590909,NA,13,pafu,lung,0.24590909090909,0
12,75271.21929998975,9720.02349991817,True,0.26590198863636305,NA,25,pipa,barrel,0.218636363636363,0
13,86067.48109997716,1242.7137999329716,True,0.18681818181818102,NA,11,nyanya,tomato,0.18681818181818102,0
14,88321.27439999022,951.2265999801457,True,0.141363636363636,NA,21,yai,egg,0.141363636363636,0
15,89958.94369995221,3754.8107999609783,True,0.18529119318181797,NA,7,tumbili,monkey,0.22318181818181798,0
16,95264.84949991573,1240.754200029187,True,0.11409090909090899,NA,30,wingu,cloud,0.11409090909090899,0
17,97409.00809993036,1449.773000087589,True,0.24175426136363604,NA,6,mshoni,tailor,0.291363636363636,0
18,100151.85589995235,2743.1951999897137,True,0.205390625,NA,16,jani,leaf,0.255,0
19,103765.68979991134,1419.0874000778422,True,0.27240056818181796,NA,3,theluji,snow,0.22318181818181798,0
20,105932.56470002234,2384.6508999122307,True,0.23720880681818102,NA,23,lawama,blame,0.28681818181818103,0
21,110479.67959998641,1482.8642000211403,True,0.31551136363636306,NA,14,paji,forehead,0.268636363636363,0
22,113300.46449997462,4207.252399995923,True,0.055,NA,10,mbwa,dog,0.055,0
23,118273.91469990835,3360.114900046028,True,0.22513494318181804,NA,15,mfupa,bone,0.27318181818181797,0
24,122443.28679994214,2156.726700020954,True,0.268636363636363,NA,28,bandari,harbor,0.268636363636363,0
25,126413.63939992152,1016.4843000238761,True,0.227727272727272,NA,12,rafiki,friend,0.227727272727272,0
26,128657.14409993961,1478.8800000678748,True,0.18720880681818103,NA,9,ziwa,lake,0.236818181818181,0
27,130829.11509997211,1813.0477999802679,True,0.18681818181818102,NA,19,sumu,poison,0.18681818181818102,0
28,134234.09119993448,2104.4346999842674,True,0.29590909090909007,NA,27,ladha,flavor,0.29590909090909007,0
29,138408.78399997018,1207.693799980916,True,0.19590909090909,NA,29,roho,soul,0.19590909090909,0
30,140502.85930000246,13319.452799973078,True,0.33429687499999994,NA,2,ubini,forgery,0.305,0

31,155125.30539999716,5463.302199961618,True,0.23720880681818102,"rgb(198,255,0)",23,lawama,blame,0.28681818181818103,1
32,162283.03219994996,1502.7217000024393,True,0.34803977272727205,"rgb(255,197,0)",5,yamini,oath,0.277727272727272,1
33,164603.86579995975,3749.826299957931,True,0.268636363636363,"rgb(198,255,0)",20,nanga,anchor,0.268636363636363,1
34,169594.39919993747,inf,True,0.23557528409090894,"rgb(198,255,0)",24,rembo,ornament,0.214090909090909,1
35,176271.73099992797,1119.3427999969572,True,0.19629971590909,"rgb(142,255,0)",13,pafu,lung,0.24590909090909,1
36,178151.03780000936,1132.416300009936,True,0.18681818181818102,"rgb(85,255,0)",11,nyanya,tomato,0.18681818181818102,1
37,180178.8432999747,937.8263000398874,True,0.18681818181818102,"rgb(85,255,0)",19,sumu,poison,0.18681818181818102,1
